Ukrainian,English
недостатньо,not enough
баксов,Backs
дізналися,learned
остались,They remained
рейс,flight
рухається,moves
викликати,cause
села,Village
новость,Newness
шелдоне,Sheldone
скучаю,I miss
трошки,A little bit
людині,man
другая,Second
розлучення,divorce
шукаєш,You are looking
продовжуйте,Continue
ясо,Yasa
кишені,pockets
долг,Dolg
спас,Savior
фильм,Film
лео,Leo
ситуация,Situation
родина,family
людства,humanity
егю,Egu
разговаривать,Drug
відкрий,Open
мин,min
маркус,Marcus
мрії,Dreams
врать,Dress
охорони,security
ушли,Gotted
песня,Song
острові,island
сильніше,stronger
товар,goods
ошибку,Oshibka
настоящая,The infusions
боявся,He was afraid
поможешь,You can help
вкрали,They stole
вернулись,They returned
вулицю,street
успіху,success
практично,practically
представляю,I represent
маленьких,little ones
милорд,Milk
войти,WORD
подякувати,thank
дивний,strange
играет,Game
деякий,certain
потерять,They will shake
джудіт,Judith
задоволенням,pleasure
допомагати,help
сином,Son
поеду,Pood
наказав,ordered
майбутньому,the future
причину,The reason
повертається,returns
заметил,Snowstorm
заставил,Casting
власну,own
весьма,Aom
плохие,Sleep
ріку,river
пойдешь,You will go
товаришу,Comrade
привіз,brought
ясувати,to clarify
кино,Kino
відпустіть,Release
зустрілися,met
енджі,Angi
поняли,They came
працювали,worked
адресу,address
стривайте,Hold on
джесси,Jesse
пише,writes
подумайте,Think
приятелю,A friend
захисту,protection
заждіть,Wait
вірус,virus
ютер,Jut
учора,yesterday
прошел,Poshel
свете,The light
звичайний,usual
щасливі,happy
малого,small
вірить,Believes
помилку,a mistake
закрий,Close
отдохнуть,They will go
шефе,Boss
пал,Pal
порно,porn
одежду,clothing
питав,asked
концов,Concer
молодой,Young
даний,present
намагалися,tried
первую,First
розмовляв,Talked
надалі,In the future
одні,one
мимо,by
смотришь,You will be shot
майстер,master
работала,Robotted
столик,table
поесть,Close
пригадую,I remember
поверни,turn
повернися,Come back
управління,management
ятати,to pity
бомба,bomb
начало,The beginning
стояв,stood
ищем,by the way
змінилося,changed
жене,Wheel
берта,Bertha
дорого,dear
країна,country
кількох,several
комната,Comnat
зато,Got
сноу,Snow
розкажіть,Tell us
працюємо,We work
заплатив,paid
болит,Bolit
кордон,border
информацию,Information
машин,cars
закону,law
пусти,to let
вел,Vel
побачили,They saw
едва,Edva
віці,age
власний,own
долі,fate
спали,They slept
запис,record
потрясающе,shaking
оказался,Occupied
підете,Come on
дядька,Uncle
усю,All
сексу,sex
хлопчику,boy
зору,sight
света,Side
спиш,You sleep
отпустить,let go
божа,God
приду,I will come
чотирьох,four
уходите,You enter
фургон,van
твоём,yours
службу,Service
джерело,source
вимагає,requires
постарайся,Try
рівно,exactly
ребенком,Rebenko
небі,heaven
створив,Created
мзн,MZN
оказалось,Occurred
менш,less
боишься,You fight
рікі,Ricky
дупи,The ass
вибуху,an explosion
сподівався,He hoped
живо,vibrate
свадьбу,Wedding
зустріти,to meet
певні,certain
інформації,information
течение,Flow
большую,I am sore
оливер,Oliver
шановний,respected
уряду,government
меті,The purpose
лекарства,Lecaries
земли,Land
хлопчика,boy
дверима,Door
фільму,the movie
емілі,Emily
попала,She got
допоки,until
уникнути,to avoid
работали,robotted
головой,Head
руди,ore
стюарт,Stuart
небудь,either
мёртв,Mittv
нет-нет,Net-no
почнеться,will start
информация,Information
лице,face
завод,plant
саму,herself
способен,the way
перейти,go
відчувати,feel
принца,Prince
офіцер,officer
ящик,box
хороших,good ones
певний,certain
отримаю,I'll get
ответственность,Outline
нью-йорку,New York
собираетесь,Come on
корабль,The ship
счёт,It will
чіпай,Thou shalt
фільмі,movie
имела,Imela
свято,holiday
работой,work
власні,Own
відомий,known
покажіть,Show
вагітна,pregnant
мужчин,men
змінився,changed
вернётся,They come back
ушёл,Swim
боїться,afraid
щасливим,happy
здрастуйте,Hello
че,Che
влади,power
окуляри,glasses
своя,your own
ухожу,I will
ногах,legs
маріє,Marie
слухає,listens
папери,papers
встати,to get up
стіну,wall
зустрінемося,Let's meet
серці,Hearts
беспокоиться,It is asleep
ган,Gan
завтрак,Guard
поскольку,Sleep
силою,by force
королю,to the king
мережі,networks
дивитись,look
склад,storage
воді,water
здатний,capable
осталась,Remained
запросив,invited
особо,Personally
представляешь,You represent
чомусь,for some reason
тікай,Flee
марі,Marie
визнати,to recognize
дядьку,Uncle
привезли,They brought
хвильку,A moment
трясця,shaking
сподобалося,Liked
зона,zone
працювала,She worked
приїхати,arrive
реаъ,Rea
настоящее,Infantry
последняя,Last
чушь,Chush
дерек,Derek
піди,Go
подзвони,Call
різдво,Christmas
захочу,I want to
постріл,shot
починай,Start
операцию,Operation
результати,Results
темна,Dark
тримає,holds
вирок,sentence
узнаю,I determine
бракує,lacks
ф,f
вину,guilty
жениться,They marry
команді,team
чортів,The devil
приехали,They came
учиться,Learn
людство,humanity
карти,cards
звонить,devour
служба,service
спит,Ask
зря,slices
прочь,Turning
ги,gi
возвращайся,Break down
галактики,galaxies
расследование,Issuance
усьому,Everything
турбує,worrying
вибратися,to get out
фз,FZ
задать,Sweat
бензин,gasoline
сильний,strong
сценарій,scenario
керівник,head
перестать,cease
досвід,experience
мозга,brain
позиції,positions
білл,Bill
теорія,theory
проще,Failure
отримує,gets
подходит,come
возвращаться,will be scattered
вбиває,kills
френку,Frank
подобного,likeness
возможности,Insecurity
коїться,is going on
кілометрів,kilometers
дивлячись,looking
купили,bought
сторони,sides
знайомий,familiar
хліб,bread
убьет,War
відпочити,rest
важлива,Important
відповів,answered
марк,Mark
чекали,Waited
призначення,appointment
окно,Okno
упал,Upal
довше,longer
увечері,in the evening
рана,wound
беріть,Take it
джордже,George
разберусь,I will get off
пожалуй,Pity
вспомнить,Squeeze
котра,which
тварини,Animals
уходим,Let's go
придёт,It will
прийняв,accepted
вік,age
поймать,Scale
наркотиками,drugs
спустя,Daddy
операція,operation
заново,newly
футбол,football
дзеркало,mirror
спільного,in common
компанію,Company
владу,power
планеті,planet
таємниці,Secrets
формі,form
бере,take
черту,Handy
определенно,Protected
офіційно,officially
полковник,colonel
обіду,lunch
крутий,steep
зайшов,went
постели,Posters
сбежал,SBOZHAL
збираюсь,I gather
існування,existence
стойте,Stand
грубо,rough
повз,past
занята,Classes
зібрати,to gather
приходять,come
трогай,Troigi
ничто,Night
перевір,check
понад,over
вариант,Variant
пари,pairs
базе,base
турбуйся,Take care
обе,Ob
мо,Mo
тепло,warm
оружия,OROZHIA
позаботиться,get off
трапляється,happens
дженни,Jenna
заплатили,paid
закончил,law
брехун,liar
татом,dad
денни,Danes
воспоминания,Monitoring
привид,ghost
попередження,warning
женщиной,women
столе,Table
ненадовго,for a short time
голоду,hunger
самогубство,suicide
рок,rock
розмовляю,I talk
власного,own
тоби,you
чекала,Waited
париж,Paris
проводить,conducts
почекати,wait for
оператор,operator
рик,roaring
поблизу,near
пей,Pay
закрити,to close
заявление,declaration
залишила,She left
по-моєму,in my opinion
случиться,will happen
кращого,better
казалось,It was said
команде,The team
залишитись,to stay
сонечко,ladybug
звільнення,release
появился,Appeared
добраться,Get out
останусь,Stay
горах,mountains
будьмо,Cheers
достать,Suitable
вірите,Believe
пойдет,will go
закончилось,He was tickle
небеса,heaven
володар,ruler
талант,talent
передать,will pass
начинается,The beginning
подзвонив,Called
дякувати,thank
судья,Judge
кучу,The bush
каждую,I say
тема,topic
просили,asked
першому,first
запропонував,suggested
виглядаю,I look
зможуть,They can
найгірше,worst
взгляд,view
зак,Zak
обещал,Ovechal
навчитися,To learn
готелю,hotel
джорже,George
микки,Mikki
молоді,young people
базу,base
думают,I think
всякий,any
вільні,free
редактор,editor
відношення,relation
діри,holes
впала,It fell
великою,great
полно,full
бережи,Take care
важное,Important
спросил,The failed
яна,Yana
виграти,win
залишишся,You will stay
никита,Nikita
зупиніться,Stop
стороні,side
звіт,report
хід,course
звонила,She devoured
карта,map
рон,Ron
лукас,Lucas
смей,Smay
майоре,Major
грей,Gray
начхати,sneeze
скажімо,Let's say
ціную,I appreciate
заклад,institution
подій,events
директора,Director
спрацює,will work
доказів,evidence
джиме,Jim
держите,Bring
лісу,forest
помреш,You will die
провела,She spent
рай,paradise
анна,Anna
хаос,chaos
дістав,got it
показания,Showing
покинув,left
божевільна,Crazy
плохого,Flat
надовго,for a long time
связано,Sun
бой,boy
марта,Martha
еякх,Eyakh
томасе,Tomase
прочитати,read
танцевать,Dance
міст,bridge
заткнися,Shut up
відправити,send
майами,Mayors
чувствовал,sensation
дітям,Children
довга,Long
коллінз,Collins
дозволяє,allows
чон,chon
обладнання,equipment
подібне,similar
крилі,wings
створили,Created
прошлое,Begged
двумя,Two
рукой,The hand
німці,Germans
шукаємо,Looking for
камер,Camera
відвали,Dumps
можливе,possible
лучшая,Luchshaya
зал,hall
встретились,They set off
поставить,will put
міністр,minister
дихання,breath
образ,image
сумніваюся,I doubt
санні,Sanny
джентльмени,gentlemen
починаємо,We start
любити,like
генерале,General
тримайтеся,Hold on
служити,serve
захоче,He wants
занять,Classes
станеш,You will become
яті,Yati
вітаємо,Congratulations
столі,tables
прийдеш,You will come
старая,Old
красива,Beautiful
запитав,asked
приймати,accept
трое,three
лучшие,Luchshi
шутка,a rust
восемь,Hem
сліди,traces
зламав,broke
мар,Mar
злочину,a crime
обставин,circumstances
хрена,Horse
глава,chapter
вне,not in
чудесно,Wonderful
тони,tones
уши,Ushi
співати,sing
ненадолго,Nonolgo
кошмар,nightmare
одежда,clothes
слухи,Hearing
злочин,crime
іграшки,toys
брешеш,You lie
прибери,Remove
маленьким,Little
людях,people
безпечно,safely
лягай,Lay
заснути,fall asleep
начинаю,I start
тіні,Shadows
убрать,Take it
читаю,I read
пляжі,The beaches
виделись,They look out
попередити,to warn
победить,will be to be trapped
парижі,Paris
бачать,They see
мартін,Martin
розуміти,understand
зробите,Do
адреса,address
уровень,Levels
придумав,came up with
пообіцяв,promised
захочет,Want
останню,Last
отвечать,They will be revealed
півгодини,half an hour
довкола,around
класний,class
вашими,yours
паспорт,passport
нос,Nos
тікати,flee
идешь,You go
тара,container
жертви,victims
вижив,survived
семьей,Semey
обидві,both
будьласка,please
гріхи,sins
написали,wrote
колледж,College
пропозицію,suggestion
хвора,sick
залишилися,remained
закони,Laws
пішло,It went
навчився,He learned
полум,flames
жахливий,horrible
кевин,Kevin
послал,sent
баре,Barr
квиток,ticket
